Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 19/07/2024
TIME       : 16:12:29
FILENAME   : C:\Users\jhansson\OneDrive - University of Guelph\Sulfolane-hansson workfolder\02 RScripts\Transducer data\North Creek\hydrostream\Data\CSV\NC-57-2.5_240719161229_V9844.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..22-V9844  317.
  Instrument number       =          UTC+0     
                          =0
  Location                =NC-57-2.5
  Sample period           =S01
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =30.000    ms/cm


[Series settings]
  Serial number           =..22-V9844  317.
  Instrument number       =          UTC+0     
  Location                =NC-57-2.5
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =54:21:02 05/07/24
  End date / time         =47:32:02 05/07/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =30.000    ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2024/07/05 02:21:54,1319.217,22.740,0.001
2024/07/05 02:21:55,1184.700,22.740,0.001
2024/07/05 02:21:56,1103.908,22.740,0.001
2024/07/05 02:21:57,1066.225,22.740,0.001
2024/07/05 02:21:58,1016.642,22.743,0.001
2024/07/05 02:21:59,989.517,22.747,0.001
2024/07/05 02:22:00,1004.158,22.747,0.001
2024/07/05 02:22:01,1000.250,22.747,0.001
2024/07/05 02:22:02,996.167,22.747,0.001
2024/07/05 02:22:03,1002.992,22.750,0.001
2024/07/05 02:22:04,1008.183,22.747,0.001
2024/07/05 02:22:05,990.683,22.750,0.001
2024/07/05 02:22:06,1013.083,22.750,0.001
2024/07/05 02:22:07,1018.100,22.753,0.001
2024/07/05 02:22:08,1025.275,22.757,0.001
2024/07/05 02:22:09,1037.117,22.763,0.001
2024/07/05 02:22:10,1050.417,22.757,0.001
2024/07/05 02:22:11,1057.708,22.760,0.001
2024/07/05 02:22:12,1075.908,22.760,0.001
2024/07/05 02:22:13,1092.825,22.757,0.001
2024/07/05 02:22:14,1111.667,22.760,0.001
2024/07/05 02:22:15,1130.100,22.760,0.001
2024/07/05 02:22:16,1148.592,22.760,0.001
2024/07/05 02:22:17,1167.725,22.760,0.001
2024/07/05 02:22:18,1187.325,22.763,0.001
2024/07/05 02:22:19,1209.667,22.767,0.001
2024/07/05 02:22:20,1229.267,22.767,0.001
2024/07/05 02:22:21,1250.150,22.770,0.001
2024/07/05 02:22:22,1271.908,22.770,0.001
2024/07/05 02:22:23,1294.658,22.773,0.001
2024/07/05 02:22:24,1316.417,22.773,0.001
2024/07/05 02:22:25,1337.708,22.777,0.001
2024/07/05 02:22:26,1358.650,22.780,0.001
2024/07/05 02:22:27,1379.067,22.780,0.001
2024/07/05 02:22:28,1399.833,22.783,0.001
2024/07/05 02:22:29,1421.300,22.783,0.001
2024/07/05 02:22:30,1443.233,22.783,0.001
2024/07/05 02:22:31,1464.292,22.787,0.001
2024/07/05 02:22:32,1483.717,22.790,0.001
2024/07/05 02:22:33,1504.250,22.790,0.001
2024/07/05 02:22:34,1527.000,22.790,0.001
2024/07/05 02:22:35,1544.617,22.793,0.001
2024/07/05 02:22:36,1564.508,22.793,0.001
2024/07/05 02:22:37,1583.525,22.797,0.001
2024/07/05 02:22:38,1602.367,22.797,0.001
2024/07/05 02:22:39,1622.608,22.800,0.001
2024/07/05 02:22:40,1641.975,22.800,0.001
2024/07/05 02:22:41,1661.342,22.803,0.001
2024/07/05 02:22:42,1681.875,22.803,0.001
2024/07/05 02:22:43,1701.825,22.803,0.001
2024/07/05 02:22:44,1721.192,22.807,0.001
2024/07/05 02:22:45,1739.567,22.807,0.001
2024/07/05 02:22:46,1759.167,22.807,0.001
2024/07/05 02:22:47,1776.025,22.810,0.001
2024/07/05 02:22:48,1793.875,22.810,0.001
2024/07/05 02:22:49,1813.183,22.810,0.001
2024/07/05 02:22:50,1831.383,22.813,0.001
2024/07/05 02:22:51,1850.517,22.810,0.001
2024/07/05 02:22:52,1869.650,22.813,0.001
2024/07/05 02:22:53,1887.675,22.813,0.001
2024/07/05 02:22:54,1904.358,22.813,0.001
2024/07/05 02:22:55,1919.817,22.813,0.001
2024/07/05 02:22:56,1936.325,22.813,0.001
2024/07/05 02:22:57,1951.842,22.817,0.001
2024/07/05 02:22:58,1966.658,22.817,0.001
2024/07/05 02:22:59,1981.767,22.817,0.001
2024/07/05 02:23:00,1999.150,22.817,0.001
2024/07/05 02:23:01,2016.008,22.817,0.001
2024/07/05 02:23:02,2033.508,22.820,0.001
2024/07/05 02:23:03,2047.800,22.820,0.001
2024/07/05 02:23:04,2062.033,22.820,0.001
2024/07/05 02:23:05,2075.917,22.820,0.001
2024/07/05 02:23:06,2089.858,22.823,0.001
2024/07/05 02:23:07,2104.967,22.820,0.001
2024/07/05 02:23:08,2118.558,22.823,0.001
2024/07/05 02:23:09,2131.567,22.823,0.001
2024/07/05 02:23:10,2143.700,22.820,0.001
2024/07/05 02:23:11,2150.000,22.823,0.001
2024/07/05 02:23:12,2150.000,22.823,0.001
2024/07/05 02:23:13,2150.000,22.823,0.001
2024/07/05 02:23:14,2150.000,22.820,0.001
2024/07/05 02:23:15,2150.000,22.823,0.001
2024/07/05 02:23:16,2150.000,22.823,0.001
2024/07/05 02:23:17,2150.000,22.823,0.001
2024/07/05 02:23:18,2150.000,22.823,0.001
2024/07/05 02:23:19,2150.000,22.823,0.001
2024/07/05 02:23:20,2150.000,22.823,0.001
2024/07/05 02:23:21,2150.000,22.823,0.001
2024/07/05 02:23:22,2150.000,22.823,0.001
2024/07/05 02:23:23,2150.000,22.823,0.001
2024/07/05 02:23:24,2150.000,22.823,0.001
2024/07/05 02:23:25,2150.000,22.823,0.001
2024/07/05 02:23:26,2150.000,22.823,0.001
2024/07/05 02:23:27,2150.000,22.823,0.001
2024/07/05 02:23:28,2150.000,22.823,0.001
2024/07/05 02:23:29,2150.000,22.827,0.001
2024/07/05 02:23:30,2150.000,22.823,0.001
2024/07/05 02:23:31,2150.000,22.823,0.001
2024/07/05 02:23:32,2150.000,22.827,0.001
2024/07/05 02:23:33,2150.000,22.823,0.001
2024/07/05 02:23:34,2150.000,22.827,0.001
2024/07/05 02:23:35,2150.000,22.823,0.001
2024/07/05 02:23:36,2150.000,22.823,0.001
2024/07/05 02:23:37,2150.000,22.823,0.001
2024/07/05 02:23:38,2150.000,22.823,0.001
2024/07/05 02:23:39,2150.000,22.823,0.001
2024/07/05 02:23:40,2150.000,22.823,0.001
2024/07/05 02:23:41,2150.000,22.823,0.001
2024/07/05 02:23:42,2150.000,22.823,0.001
2024/07/05 02:23:43,2150.000,22.823,0.001
2024/07/05 02:23:44,2150.000,22.827,0.001
2024/07/05 02:23:45,2150.000,22.823,0.001
2024/07/05 02:23:46,2150.000,22.823,0.001
2024/07/05 02:23:47,2150.000,22.823,0.001
2024/07/05 02:23:48,2150.000,22.823,0.001
2024/07/05 02:23:49,2150.000,22.823,0.001
2024/07/05 02:23:50,2150.000,22.823,0.001
2024/07/05 02:23:51,2150.000,22.823,0.001
2024/07/05 02:23:52,2150.000,22.823,0.001
2024/07/05 02:23:53,2150.000,22.823,0.001
2024/07/05 02:23:54,2150.000,22.823,0.001
2024/07/05 02:23:55,2150.000,22.823,0.001
2024/07/05 02:23:56,2150.000,22.823,0.001
2024/07/05 02:23:57,2150.000,22.823,0.001
2024/07/05 02:23:58,2150.000,22.823,0.001
2024/07/05 02:23:59,2150.000,22.820,0.001
2024/07/05 02:24:00,2150.000,22.823,0.001
2024/07/05 02:24:01,2150.000,22.823,0.001
2024/07/05 02:24:02,2150.000,22.823,0.001
2024/07/05 02:24:03,2150.000,22.823,0.001
2024/07/05 02:24:04,2150.000,22.823,0.001
2024/07/05 02:24:05,2150.000,22.820,0.001
2024/07/05 02:24:06,2150.000,22.820,0.001
2024/07/05 02:24:07,2150.000,22.820,0.001
2024/07/05 02:24:08,2150.000,22.820,0.001
2024/07/05 02:24:09,2150.000,22.823,0.001
2024/07/05 02:24:10,2150.000,22.820,0.001
2024/07/05 02:24:11,2150.000,22.820,0.001
2024/07/05 02:24:12,2150.000,22.823,0.001
2024/07/05 02:24:13,2150.000,22.820,0.001
2024/07/05 02:24:14,2150.000,22.820,0.001
